sample_id,class,mask_coverage,input_full_RMSE,input_full_MAE,input_full_REL,input_full_δ1.05,input_full_δ1.10,input_full_δ1.25,input_full_n_valid,pred_full_RMSE,pred_full_MAE,pred_full_REL,pred_full_δ1.05,pred_full_δ1.10,pred_full_δ1.25,pred_full_n_valid,input_mask_RMSE,input_mask_MAE,input_mask_REL,input_mask_δ1.05,input_mask_δ1.10,input_mask_δ1.25,input_mask_n_valid,pred_mask_RMSE,pred_mask_MAE,pred_mask_REL,pred_mask_δ1.05,pred_mask_δ1.10,pred_mask_δ1.25,pred_mask_n_valid
000002619,stemless-plastic-champagne-glass-train,0.029968262,0.30778095,0.053269178,0.074009396,0.97003173828125,0.97003173828125,0.97003173828125,16384,0.050859798,0.05064923,0.05679283,0.29986572265625,0.9842529296875,1.0,16384,1.7779149,1.7775198,2.4695928,0.0,0.0,0.0,491,0.06483162,0.063152306,0.08749059,0.038696537678207736,0.769857433808554,1.0,491
000002626,flower-bath-bomb-train,0.049194336,0.45875916,0.1017108,0.24014439,0.9508056640625,0.9508056640625,0.9508056640625,16384,0.028873168,0.026197884,0.05631333,0.41253662109375,0.94677734375,0.99822998046875,16384,2.0683653,2.0675306,4.8815455,0.0,0.0,0.0,806,0.07795148,0.077041484,0.1825216,0.0,0.00620347394540943,0.9640198511166254,806
000007639,stemless-plastic-champagne-glass-train,0.015319824,0.18740954,0.02315846,0.02372371,0.98468017578125,0.98468017578125,0.98468017578125,16384,0.024008598,0.022388231,0.018373616,0.98492431640625,0.9957275390625,1.0,16384,1.5141356,1.5116662,1.5485629,0.0,0.0,0.0,251,0.08013581,0.07707681,0.079816155,0.12350597609561753,0.7290836653386454,1.0,251
000006976,stemless-plastic-champagne-glass-train,0.012145996,0.12368851,0.01360774,0.009912571,0.98785400390625,0.98785400390625,0.98785400390625,16384,0.055704102,0.055070803,0.036934555,0.92095947265625,0.99774169921875,1.0,16384,1.1223099,1.1203479,0.8161184,0.0,0.0,0.0,199,0.10491878,0.092899516,0.06757329,0.3969849246231156,0.8190954773869347,1.0,199
000001843,square-plastic-bottle-train,0.01953125,0.22522794,0.03146398,0.035522323,0.98046875,0.98046875,0.98046875,16384,0.008680221,0.0026021334,0.0025559533,0.98931884765625,0.9991455078125,0.999755859375,16384,1.6116,1.6109558,1.818743,0.0,0.0,0.0,320,0.058089208,0.04745444,0.053189166,0.465625,0.959375,0.9875,320
000004278,stemless-plastic-champagne-glass-train,0.030700684,0.24535407,0.04296249,0.039178073,0.96929931640625,0.96929931640625,0.96929931640625,16384,0.05459002,0.05420024,0.04542663,0.60400390625,0.99884033203125,1.0,16384,1.4002941,1.3993986,1.2761302,0.0,0.0,0.0,503,0.05948807,0.05440705,0.049408056,0.5606361829025845,0.9860834990059643,1.0,503
000007676,heart-bath-bomb-train,0.027160645,0.31270382,0.05153227,0.08562628,0.97283935546875,0.97283935546875,0.97283935546875,16384,0.05716147,0.05693018,0.08585483,0.001220703125,0.663330078125,0.9991455078125,16384,1.8974186,1.897314,3.1525865,0.0,0.0,0.0,445,0.060813203,0.059975263,0.0995929,0.0022471910112359553,0.5573033707865168,1.0,445
000004558,cup-with-waves-train,0.04119873,0.3354881,0.068047136,0.08086802,0.95880126953125,0.95880126953125,0.95880126953125,16384,0.027167087,0.02535946,0.029295415,0.9632568359375,0.990478515625,0.9998779296875,16384,1.6528568,1.6516805,1.9628766,0.0,0.0,0.0,675,0.06782782,0.06254457,0.075044736,0.25925925925925924,0.7703703703703704,0.997037037037037,675
000003003,cup-with-waves-train,0.074401855,0.54876596,0.14966425,0.30821198,0.92559814453125,0.92559814453125,0.92559814453125,16384,0.0530768,0.052379876,0.10588765,0.00799560546875,0.33087158203125,0.9991455078125,16384,2.0118484,2.0115662,4.142531,0.0,0.0,0.0,1219,0.0703135,0.06615392,0.13661417,0.0918785890073831,0.2124692370795734,0.9967186218211649,1219
000009777,stemless-plastic-champagne-glass-train,0.014892578,0.15525088,0.018889189,0.015531503,0.985107421875,0.985107421875,0.985107421875,16384,0.010152541,0.004480525,0.0036111851,0.9901123046875,0.99969482421875,1.0,16384,1.2721816,1.2683625,1.0429022,0.0,0.0,0.0,244,0.07562419,0.072421476,0.059434254,0.3360655737704918,0.9795081967213115,1.0,244
000010010,heart-bath-bomb-train,0.023376465,0.27216476,0.04160449,0.05794455,0.97662353515625,0.97662353515625,0.97662353515625,16384,0.08781616,0.087660536,0.11779143,0.00042724609375,0.08526611328125,0.99993896484375,16384,1.7800921,1.7797596,2.478756,0.0,0.0,0.0,383,0.06857752,0.06644465,0.092586696,0.018276762402088774,0.6814621409921671,1.0,383
000002378,flower-bath-bomb-train,0.07531738,0.56952685,0.15628554,0.36986506,0.9246826171875,0.9246826171875,0.9246826171875,16384,0.06562792,0.06539571,0.11358285,0.00018310546875,0.2509765625,0.996337890625,16384,2.0752316,2.0750263,4.9107533,0.0,0.0,0.0,1234,0.059589405,0.057978187,0.13615453,0.0024311183144246355,0.10291734197730956,1.0,1234
000000304,heart-bath-bomb-train,0.024291992,0.2806228,0.043730825,0.062668666,0.9757080078125,0.9757080078125,0.9757080078125,16384,0.071781635,0.07166534,0.08490051,0.00054931640625,0.62347412109375,1.0,16384,1.8004929,1.8002157,2.579808,0.0,0.0,0.0,398,0.079421744,0.07859391,0.11233842,0.0,0.1934673366834171,1.0,398
000010331,heart-bath-bomb-train,0.028686523,0.3419109,0.05790353,0.120808765,0.9713134765625,0.9713134765625,0.9713134765625,16384,0.07138989,0.07100059,0.12029134,0.00689697265625,0.10272216796875,0.99957275390625,16384,2.0187101,2.0184925,4.2113423,0.0,0.0,0.0,470,0.03822974,0.034758713,0.07346878,0.2404255319148936,0.8042553191489362,1.0,470
